#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
1.0,"Instagram stranicu ""pomozi.mojoj.nevjeri"", koju je pokrenula djevojka iz Mostara, je podijelilo mnogo ljudi, kako bi se moglo pomoći što većem broju ljudi.","Many people shared the Instagram page ""pomozi.mojoj.nevjeri,"" which was launched by a girl from Mostar in order to help as many people as possible.",4.0,10.0,16.0,30,6.5,10.4,Technology ,Social Relations,Culture & Society,Public information,Social Programs / Social Services,Rights & Dignity
4.0,"Ljudi u Mostaru ne smatraju da je Mostar grad-slučaj, kao što se to predstavlja u medijima.",People in Mostar do not consider their city a case city [derogatory reference] as portrayed in the media.,9.0,5.0,3.0,17,13.0,9.3,Media,Media,Culture & Society,Political functionality,Governance,Rights & Dignity
5.0,"Roditelji smiju pustiti djecu da se igraju vani u dvorištu, bez straha.",Parents allow their children to play outside in the yard without fear.,10.0,,6.0,16,2.2,15.2,Confidence,Tranquility/security ,Security,Infrastructure,Youth,Culture & Society
8.0,U Mostaru svatko svakome pomažemo.,In Mostar everyone helps everyone else.,4.0,2.0,8.0,14,1.3,,Social,Integration and acceptance,Culture & Society,,,
9.0,Ljudi u Mostaru više šetaju nego da koriste auta.,People in Mostar walk more than they use cars.,3.0,,11.0,14,21.0,11.3,Motor Vehicles ,Motor Vehicles ,Culture & Society,Individual Leisure,Socializing,Culture & Society
14.0,"Na Bijelom Brijegu ima dovoljno mjesta za parking, pa ljudi ne moraju ostavljati auto na ulici.",In Bijeli Brijeg there is enough place for parking so people don't have to leave their cars on the street.,6.0,2.0,5.0,13,21.1,,Parking,Motor Vehicles ,Culture & Society,,,
16.0,Mladi sa Bijelog Brijega se druže u lokalnom kafiću kod Nine.,"Young people from Bijeli Brijeg hang out at Nina's, a local cafe.",,4.0,8.0,12,15.0,11.1,Youth,Youth,Culture & Society,Cafes and Space,Socializing,Culture & Society
19.0,Mladež s Bijelog Brijega se druži u caffe baru Kvart.,Young people from Bijeli Brijeg hang out in the 'Kvart' cafe bar.,1.0,3.0,7.0,11,11.1,15.0,Cafes and Space,Socializing,Culture & Society,Youth,Youth,Culture & Society
20.0,"Dok u Americi ljudi samo rade, mi radimo i uživamo.","While people in America simply work, we work and enjoy ourselves.",2.0,1.0,8.0,11,20.8,11.3,Livelihoods,Business,Economic Activity & Livelihoods,Individual Leisure,Socializing,Culture & Society
23.0,Đemo Kasumović je počeo čistiti Trimušu pa su se i ostali ljudi priključili toj akciji.,Đemo Kasumović began cleaning Trimuša so others joined in the activity.,,8.0,2.0,10,6.4,18.3,Activism,Social Relations,Culture & Society,Environmental Restoration,Environment,Rights & Dignity
24.0,Na Bijelom Brijegu se vidi dosta djece koja se igraju ispred zgrada.,In Bijeli Brijeg one sees many children playing in front of the building.,5.0,1.0,4.0,10,15.0,11.3,Youth,Youth,Culture & Society,Individual Leisure,Socializing,Culture & Society
